sample_id,county,crop,collection_date,soil_moisture_pct,temperature_c,aflatoxin_ppb,lab_id
S1080,Nakuru,Maize,2026-01-24,32.9,18.6,12.92,LAB-A
S1081,Kiambu,Groundnuts,2026-01-24,14.4,23.3,12.11,LAB-C
S1082,Kisumu,Millet,2026-01-24,28.5,32.9,12.18,LAB-C
S1083,Kisumu,Maize,2026-01-25,22.3,29.8,3.24,LAB-B
S1084,Kisumu,Sorghum,2026-01-25,27.5,22.5,4.11,LAB-B
S1085,Kiambu,Maize,2026-01-25,9.7,22.0,2.83,LAB-A
S1086,Nakuru,Groundnuts,2026-01-26,12.0,18.1,9.4,LAB-A
S1087,Kisumu,Groundnuts,2026-01-26,11.6,29.1,8.69,LAB-A
S1088,Meru,Groundnuts,2026-01-26,26.6,18.8,7.24,LAB-B
S1089,Bungoma,Millet,2026-01-26,30.8,26.5,25.73,LAB-A
S1090,Kiambu,Maize,2026-01-27,28.2,,3.67,LAB-A
S1091,Kiambu,Millet,2026-01-27,8.8,19.8,2.74,LAB-A
S1092,Nakuru,Millet,2026-01-27,31.4,32.3,3.25,LAB-B
S1093,Kiambu,Groundnuts,2026-01-28,17.6,33.9,6.3,LAB-C
S1094,Kiambu,Groundnuts,2026-01-28,18.7,19.0,3.76,LAB-A
S1095,Kisumu,Millet,2026-01-28,10.8,32.1,0.25,LAB-C
S1096,Nakuru,Maize,2026-01-29,27.9,26.3,16.48,LAB-A
S1097,Kisumu,Sorghum,2026-01-29,12.9,32.5,6.31,LAB-C
S1098,Bungoma,Millet,2026-01-29,23.2,27.1,7.55,LAB-B
S1099,Bungoma,Maize,2026-01-29,30.7,28.6,5.23,LAB-B
S1100,Kisumu,Groundnuts,2026-01-30,10.4,26.7,8.92,LAB-A
S1101,Bungoma,Groundnuts,2026-01-30,22.5,31.8,17.22,LAB-C
S1102,Nakuru,Maize,2026-01-30,14.3,29.7,9.95,LAB-B
S1103,Nairobi,Sorghum,2026-01-31,17.3,26.3,15.75,LAB-A
S1104,Kisumu,Groundnuts,2026-01-31,20.8,31.9,14.12,LAB-A
S1105,Meru,Groundnuts,2026-01-31,17.6,21.9,6.23,LAB-B
S1106,Meru,Groundnuts,2026-01-31,25.5,20.5,23.54,LAB-B
S1107,Kiambu,Maize,2026-02-01,20.9,20.6,11.45,LAB-A
S1108,Bungoma,Millet,2026-02-01,23.8,23.3,8.98,LAB-C
S1109,Meru,Groundnuts,2026-02-01,27.9,21.8,22.02,LAB-C
S1110,Kiambu,Millet,2026-02-02,23.1,32.9,0.38,LAB-C
S1111,Nairobi,Sorghum,2026-02-02,23.8,19.7,9.47,LAB-A
S1112,Nakuru,Groundnuts,2026-02-02,23.2,29.2,10.62,LAB-B
S1113,Nakuru,Groundnuts,2026-02-02,18.2,21.0,1.82,LAB-A
S1114,Nakuru,Sorghum,2026-02-03,17.1,32.1,2.53,LAB-B
S1115,Meru,Groundnuts,2026-02-03,32.3,33.4,1.65,LAB-C
S1116,Nairobi,Millet,2026-02-03,24.4,25.4,6.7,LAB-C
S1117,Meru,Maize,2026-02-04,14.6,32.1,10.37,LAB-B
S1118,Bungoma,Millet,2026-02-04,21.5,18.1,6.99,LAB-B
S1119,Meru,Maize,2026-02-04,16.9,31.1,11.68,LAB-A
S1120,Nairobi,Maize,2026-02-05,33.2,21.7,9.75,LAB-C
S1121,Nairobi,Millet,2026-02-05,8.2,32.5,4.25,LAB-A
S1122,Bungoma,Millet,2026-02-05,14.1,18.0,2.19,LAB-A
S1123,Nairobi,Millet,2026-02-05,17.9,26.9,8.41,LAB-A
S1124,Nairobi,Millet,2026-02-06,21.2,30.1,8.3,LAB-C
S1125,Nakuru,Sorghum,2026-02-06,31.0,22.1,5.08,LAB-A
S1126,Bungoma,Groundnuts,2026-02-06,10.4,21.1,10.08,LAB-A
S1127,Machakos,Maize,2026-02-07,29.8,19.3,13.98,LAB-A
S1128,Machakos,Millet,2026-02-07,9.5,23.2,5.52,LAB-A
S1129,NAIROBI,Millet,2026-02-07,30.7,27.0,2.41,LAB-A
S1130,Machakos,Millet,2026-02-07,9.4,19.9,6.65,LAB-A
S1131,Machakos,Sorghum,2026-02-08,8.5,24.0,6.29,LAB-C
S1132,Nairobi,Millet,2026-02-08,26.8,18.1,7.93,LAB-A
S1133,Machakos,Millet,2026-02-08,34.9,31.1,1.76,LAB-B
S1134,Meru,Millet,2026-02-09,32.2,20.1,11.81,LAB-A
S1135,Kiambu,Groundnuts,2026-02-09,23.6,22.5,2.33,LAB-A
S1136,Bungoma,Sorghum,2026-02-09,32.8,18.3,7.25,LAB-C
S1137,Kiambu,Millet,2026-02-09,8.1,24.9,16.05,LAB-C
S1138,Nairobi,Maize,2026-02-10,34.3,31.4,15.15,LAB-B
S1139,Nakuru,Maize,2026-02-10,21.3,24.3,10.12,LAB-B
S1140,Bungoma,Maize,2026-02-10,27.5,20.9,1.5,LAB-C
S1141,Nairobi,Sorghum,2026-02-11,30.2,30.1,1.19,LAB-C
S1142,Nakuru,Sorghum,2026-02-11,27.4,30.6,19.12,LAB-A
S1143,Kiambu,Maize,2026-02-11,22.4,20.8,5.21,LAB-C
S1144,Nairobi,Millet,2026-02-12,20.9,30.3,5.97,LAB-B
S1145,Bungoma,Sorghum,2026-02-12,30.6,33.2,13.06,LAB-A
S1146,Bungoma,Maize,2026-02-12,13.5,20.7,3.85,LAB-B
S1147,Kisumu,Maize,2026-02-12,34.1,30.3,3.92,LAB-A
S1148,Meru,Millet,2026-02-13,27.2,29.3,0.16,LAB-C
S1149,Machakos,Groundnuts,2026-02-13,13.4,25.6,1.52,LAB-B
S1150,Nakuru,Sorghum,2026-02-13,27.9,18.9,13.5,LAB-A
S1151,Kisumu,Millet,2026-02-14,22.3,19.2,18.17,LAB-A
S1152,Machakos,Maize,2026-02-14,27.1,31.6,4.19,LAB-C
S1153,Machakos,Maize,2026-02-14,28.7,33.8,11.01,LAB-C
S1154,Nairobi,Millet,2026-02-14,10.4,28.8,0.14,LAB-C
S1155,Machakos,Sorghum,2026-02-15,21.7,25.1,0.39,LAB-B
S1156,Meru,Groundnuts,2026-02-15,33.2,28.4,9.93,LAB-A
S1157,Bungoma,Groundnuts,2026-02-15,16.7,27.5,2.22,LAB-C
S1158,Kisumu,Maize,2026-02-16,24.0,24.1,9.76,LAB-B
S1159,Machakos,Sorghum,2026-02-16,18.0,19.1,11.84,LAB-B
S1160,Nairobi,Groundnuts,2026-02-16,20.3,31.1,2.54,LAB-B
S1161,Meru,Sorghum,2026-02-16,22.8,23.9,16.62,LAB-C
S1162,Kiambu,Sorghum,2026-02-17,22.8,31.1,4.18,LAB-C
S1163,Bungoma,Maize,2026-02-17,13.4,22.0,16.76,LAB-A
S1164,Bungoma,Groundnuts,2026-02-17,26.5,18.0,9.55,LAB-A
S1165,Kisumu,Millet,2026-02-18,10.4,20.5,27.6,LAB-C
S1166,Bungoma,Maize,2026-02-18,11.7,25.5,2.75,LAB-B
S1167,Machakos,Groundnuts,2026-02-18,8.1,33.1,3.3,LAB-B
S1168,Nairobi,Groundnuts,2026-02-19,11.2,19.6,4.14,LAB-B
S1169,Bungoma,Groundnuts,2026-02-19,20.8,31.7,2.37,LAB-A
S1170,Bungoma,Groundnuts,2026-02-19,24.4,26.4,9.1,LAB-B
S1171,Kiambu,Groundnuts,2026-02-19,29.4,31.2,16.94,LAB-A
S1172,Kiambu,Sorghum,2026-02-20,10.9,22.8,1.95,LAB-A
S1173,Nakuru,Maize,2026-02-20,31.0,31.4,10.64,LAB-B
S1174,Meru,Sorghum,2026-02-20,28.1,30.4,6.26,LAB-B
S1175,Machakos,Millet,2026-02-21,19.0,21.7,14.26,LAB-C
S1176,Bungoma,Groundnuts,2026-02-21,33.2,20.1,9.33,LAB-C
S1177,Bungoma,Maize,2026-02-21,34.8,31.9,14.61,LAB-B
S1178,Nairobi,Groundnuts,2026-02-21,13.5,33.4,5.02,LAB-A
S1179,Nakuru,Maize,2026-02-22,18.2,18.5,2.52,LAB-A
S1180,Meru,Sorghum,2026-02-22,33.0,29.7,12.53,LAB-A
S1181,Nakuru,Maize,2026-02-22,27.5,32.6,4.46,LAB-A
S1182,Kisumu,Millet,2026-02-23,9.3,31.7,7.94,LAB-A
S1183,Meru,Millet,2026-02-23,29.1,33.4,5.96,LAB-C
S1184,Bungoma,Maize,2026-02-23,30.4,30.2,2.88,LAB-B
S1185,Bungoma,Maize,2026-02-23,28.3,25.1,10.43,LAB-C
S1186,Meru,Maize,2026-02-24,29.6,23.0,14.73,LAB-A
S1187,Bungoma,Maize,2026-02-24,30.3,23.1,10.26,LAB-A
S1188,Machakos,Millet,2026-02-24,13.0,29.6,14.1,LAB-A
S1189,Meru,Groundnuts,2026-02-25,14.4,29.9,8.57,LAB-A
S1190,Nakuru,Maize,2026-02-25,25.1,21.2,9.96,LAB-B
S1191,Meru,Maize,2026-02-25,32.5,31.9,5.07,LAB-A
S1192,Bungoma,Millet,2026-02-26,16.5,29.4,9.72,LAB-B
S1193,Machakos,Millet,2026-02-26,23.9,27.0,7.33,LAB-A
S1194,Machakos,Sorghum,2026-02-26,26.4,25.5,8.6,LAB-B
S1195,Kisumu,Maize,2026-02-26,20.2,26.7,4.67,LAB-C
S1196,Nakuru,Sorghum,2026-02-27,27.3,20.5,12.47,LAB-A
S1197,Kiambu,Millet,2026-02-27,32.3,21.3,0.32,LAB-B
S1198,Kiambu,Millet,2026-02-27,24.9,19.5,5.85,LAB-C
S1199,Meru,Groundnuts,2026-02-28,22.6,20.5,16.49,LAB-A
S1200,Kisumu,Maize,2026-02-28,19.8,25.3,1.59,LAB-A
S1201,Nairobi,Sorghum,2026-02-28,23.6,26.5,11.29,LAB-A
S1202,Meru,Millet,2026-02-28,17.6,18.3,8.93,LAB-B
S1203,Kisumu,Millet,2026-03-01,18.6,30.7,3.94,LAB-B
S1204,Nakuru,Sorghum,2026-03-01,22.4,22.7,14.09,LAB-C
S1205,Nakuru,Groundnuts,2026-03-01,9.8,32.6,4.96,LAB-B
S1206,Nakuru,Millet,2026-03-02,14.2,33.5,1.17,LAB-B
S1207,Nakuru,Maize,2026-03-02,22.7,21.0,5.39,LAB-A
S1208,Nakuru,Millet,2026-03-02,19.7,25.4,14.74,LAB-A
S1209,Kisumu,Maize,2026-03-02,17.0,18.0,10.6,LAB-A
S1210,Kisumu,Sorghum,2026-03-03,27.7,27.6,13.47,LAB-A
S1211,Machakos,Maize,2026-03-03,26.7,27.7,7.49,LAB-A
S1212,Kiambu,Sorghum,2026-03-03,12.5,22.0,7.89,LAB-A
S1213,Bungoma,Maize,2026-03-04,31.7,26.9,5.85,LAB-A
S1214,Nakuru,Sorghum,2026-03-04,21.4,21.6,1.11,LAB-C
S1215,Nairobi,Maize,2026-03-04,28.0,20.6,15.56,LAB-C
S1216,Bungoma,Groundnuts,2026-03-05,23.5,28.4,15.95,LAB-C
S1217,Kisumu,Maize,2026-03-05,34.9,23.2,11.63,LAB-C
S1218,Nairobi,Maize,2026-03-05,28.3,27.4,0.38,LAB-A
S1219,Nairobi,Groundnuts,2026-03-05,27.1,24.9,4.84,LAB-C
S1220,Nairobi,Millet,2026-03-06,29.0,33.7,13.59,LAB-A
S1221,Machakos,Millet,2026-03-06,11.9,20.4,6.28,LAB-C
S1222,Kisumu,Maize,2026-03-06,13.5,25.4,0.53,LAB-B
S1223,Nairobi,Groundnuts,2026-03-07,27.3,28.9,11.68,LAB-C
S1224,Nakuru,Maize,2026-03-07,21.3,24.3,4.31,LAB-C
S1225,MERU,Sorghum,2026-03-07,28.4,33.6,5.06,LAB-A
S1226,Nairobi,Sorghum,2026-03-07,10.8,29.6,5.78,LAB-C
S1227,Machakos,Maize,2026-03-08,22.5,28.5,10.59,LAB-B
S1228,Bungoma,Millet,2026-03-08,18.2,30.1,3.53,LAB-A
S1229,Kisumu,Millet,2026-03-08,20.3,33.2,11.5,LAB-A
S1230,Machakos,Maize,2026-03-09,24.3,32.5,5.42,LAB-C
S1231,Nairobi,Maize,2026-03-09,21.6,29.6,2.54,LAB-A
S1232,Kisumu,Sorghum,2026-03-09,22.6,30.0,5.71,LAB-A
S1233,Meru,Millet,2026-03-09,21.1,20.3,2.12,LAB-A
S1234,Nairobi,Maize,2026-03-10,19.0,19.6,6.33,LAB-A
S1235,Machakos,Sorghum,2026-03-10,28.8,27.1,12.64,LAB-A
S1236,Kiambu,Millet,2026-03-10,8.3,18.3,2.59,LAB-A
S1237,Nakuru,Groundnuts,2026-03-11,24.2,25.7,8.91,LAB-B
S1238,Bungoma,Sorghum,2026-03-11,23.3,21.4,0.63,LAB-C
S1239,Machakos,Millet,2026-03-11,27.3,23.5,7.61,LAB-B
S1240,Kisumu,Millet,2026-03-12,24.2,30.4,12.88,LAB-A
S1241,Nairobi,Sorghum,2026-03-12,30.3,33.1,11.04,LAB-A
S1242,Nakuru,Groundnuts,2026-03-12,33.9,19.2,2.92,LAB-C
S1243,Nairobi,Sorghum,2026-03-12,17.2,26.5,3.05,LAB-B
S1244,Kisumu,Millet,2026-03-13,14.1,32.1,8.52,LAB-C
S1245,Nairobi,Maize,2026-03-13,19.4,19.3,4.67,LAB-B
S1246,Kiambu,Maize,2026-03-13,15.8,31.2,5.63,LAB-A
S1247,Nakuru,Sorghum,2026-03-14,24.6,23.7,22.34,LAB-C
S1248,Nakuru,Millet,2026-03-14,32.6,23.2,3.7,LAB-C
S1249,Kisumu,Maize,2026-03-14,11.8,,15.08,LAB-A
S1250,Bungoma,Millet,2026-03-14,10.7,21.2,3.2,LAB-C
S1251,Kiambu,Sorghum,2026-03-15,14.9,29.1,10.4,LAB-B
S1252,Machakos,Maize,2026-03-15,27.6,31.1,23.03,LAB-B
S1253,Nairobi,Millet,2026-03-15,24.0,18.7,11.51,LAB-B
S1254,Meru,Maize,2026-03-16,10.8,28.7,8.98,LAB-B
S1255,Nairobi,Sorghum,2026-03-16,32.8,33.2,18.79,LAB-A
S1256,Nairobi,Millet,2026-03-16,29.3,20.0,15.0,LAB-C
S1257,Machakos,Maize,2026-03-16,8.6,32.3,0.4,LAB-B
S1258,Nairobi,Sorghum,2026-03-17,25.6,27.5,8.36,LAB-A
S1259,Kiambu,Maize,2026-03-17,28.8,27.9,7.74,LAB-C
S1260,Kiambu,Maize,2026-03-17,18.1,27.8,1.68,LAB-C
S1261,Nakuru,Groundnuts,2026-03-18,9.9,22.8,8.51,LAB-A
S1262,Kisumu,Groundnuts,2026-03-18,10.1,33.0,1.18,LAB-A
S1263,Bungoma,Sorghum,2026-03-18,10.8,33.2,8.19,LAB-B
S1264,Meru,Groundnuts,2026-03-19,30.7,28.0,5.89,LAB-C
S1265,Nairobi,Sorghum,2026-03-19,32.6,30.5,10.29,LAB-C
S1266,Nairobi,Groundnuts,2026-03-19,11.3,27.8,2.61,LAB-A
S1267,Machakos,Maize,2026-03-19,14.4,25.8,1.52,LAB-C
S1268,Kisumu,Sorghum,2026-03-20,12.5,28.6,17.83,LAB-B
S1269,Kiambu,Sorghum,2026-03-20,13.0,26.8,2.03,LAB-C
S1270,Meru,Maize,2026-03-20,30.6,27.6,11.28,LAB-A
S1271,Nakuru,Sorghum,2026-03-21,17.0,30.5,17.48,LAB-A
S1272,Kiambu,Sorghum,2026-03-21,16.4,25.7,7.3,LAB-B
S1273,Kisumu,Groundnuts,2026-03-21,14.1,18.7,0.85,LAB-B
S1274,Bungoma,Sorghum,2026-03-21,24.4,20.6,4.57,LAB-C
S1275,Nakuru,Millet,2026-03-22,18.2,25.0,14.14,LAB-C
S1276,Bungoma,Maize,2026-03-22,28.1,29.6,7.65,LAB-A
S1277,Machakos,Groundnuts,2026-03-22,13.6,27.5,3.64,LAB-B
S1278,Machakos,Groundnuts,2026-03-23,29.3,28.4,10.77,LAB-B
S1279,Nairobi,Millet,2026-03-23,24.3,25.7,12.16,LAB-B
S1280,BUNGOMA,Maize,2026-03-23,11.1,27.9,3.16,LAB-C
S1281,Kisumu,Maize,2026-03-23,19.2,23.3,10.88,LAB-B
S1282,Meru,Groundnuts,2026-03-24,31.3,25.5,7.96,LAB-A
S1283,Nakuru,Sorghum,2026-03-24,32.9,29.9,4.42,LAB-A
S1284,Kiambu,Groundnuts,2026-03-24,20.6,31.9,4.35,LAB-C
S1285,Kisumu,Maize,2026-03-25,21.0,24.9,14.62,LAB-C
S1286,Kisumu,Millet,2026-03-25,32.8,18.7,12.07,LAB-B
S1287,Machakos,Groundnuts,2026-03-25,23.9,20.6,10.67,LAB-C
S1288,Bungoma,Maize,2026-03-26,8.9,18.3,18.36,LAB-A
S1289,Nairobi,Groundnuts,2026-03-26,32.6,28.5,13.56,LAB-B
S1290,Nairobi,Sorghum,2026-03-26,14.7,23.3,11.49,LAB-A
S1291,Nakuru,Groundnuts,2026-03-26,23.6,26.7,11.71,LAB-B
S1292,Machakos,Groundnuts,2026-03-27,12.5,25.9,15.58,LAB-C
S1293,Kisumu,Maize,2026-03-27,8.9,19.3,6.66,LAB-B
S1294,Meru,Maize,2026-03-27,16.4,24.5,8.5,LAB-B
S1295,Machakos,Maize,2026-03-28,29.1,21.5,8.55,LAB-A
S1296,Nakuru,Groundnuts,2026-03-28,15.5,24.7,12.19,LAB-A
S1297,Nakuru,Sorghum,2026-03-28,13.9,21.3,14.98,LAB-B
S1298,Machakos,Millet,2026-03-28,13.7,31.4,11.07,LAB-C
S1299,Nakuru,Millet,2026-03-29,21.9,20.8,9.8,LAB-C
S1300,Machakos,Maize,2026-03-29,34.3,33.4,7.85,LAB-A
S1301,Kiambu,Maize,2026-03-29,20.4,24.7,20.81,LAB-C
S1302,Machakos,Groundnuts,2026-03-30,23.0,31.5,3.7,LAB-A
S1303,Bungoma,Millet,2026-03-30,31.2,28.1,1.53,LAB-C
S1304,Machakos,Maize,2026-03-30,22.4,,15.69,LAB-B
S1305,Nakuru,Sorghum,2026-03-30,13.0,30.3,10.95,LAB-A
S1306,Bungoma,Sorghum,2026-03-31,16.1,26.1,2.33,LAB-A
S1307,Nakuru,Maize,2026-03-31,16.4,26.7,3.14,LAB-B
S1308,Nairobi,Maize,2026-03-31,18.7,26.2,2.85,LAB-A
S1309,Nairobi,Millet,2026-04-01,19.5,27.4,2.71,LAB-C
S1310,Bungoma,Millet,2026-04-01,29.6,,5.56,LAB-C
S1311,Kiambu,Groundnuts,2026-04-01,17.4,24.3,7.29,LAB-A
S1312,Nairobi,Millet,2026-04-02,20.6,27.7,6.23,LAB-C
S1313,Machakos,Sorghum,2026-04-02,24.9,27.6,14.6,LAB-A
S1314,Nakuru,Sorghum,2026-04-02,18.2,30.7,1.7,LAB-B
S1315,Nairobi,Maize,2026-04-02,30.6,28.5,8.43,LAB-A
S1316,Nairobi,Millet,2026-04-03,23.9,33.9,11.87,LAB-B
S1317,Kiambu,Groundnuts,2026-04-03,15.9,22.5,1.95,LAB-C
S1318,Bungoma,Sorghum,2026-04-03,27.3,23.7,5.84,LAB-B
S1319,Bungoma,Sorghum,2026-04-04,22.2,24.1,0.67,LAB-C
S1320,Kisumu,Groundnuts,2026-04-04,22.4,25.5,18.85,LAB-A
S1321,Kiambu,Groundnuts,2026-04-04,21.0,31.4,18.5,LAB-C
S1322,Machakos,Sorghum,2026-04-04,21.4,21.8,1.94,LAB-A
S1323,Bungoma,Sorghum,2026-04-05,28.7,30.4,9.09,LAB-A
S1324,Nakuru,Groundnuts,2026-04-05,10.8,24.5,14.54,LAB-B
S1325,Kiambu,Sorghum,2026-04-05,17.0,27.6,12.79,LAB-B
S1326,Nairobi,Maize,2026-04-06,10.0,28.1,6.65,LAB-B
S1327,Nakuru,Maize,2026-04-06,28.3,24.0,16.45,LAB-B
S1328,Nakuru,Groundnuts,2026-04-06,15.4,26.2,1.24,LAB-C
S1329,Nairobi,Millet,2026-04-06,32.2,24.6,3.58,LAB-C
S1330,Kiambu,Groundnuts,2026-04-07,22.2,19.1,1.02,LAB-C
S1331,Nairobi,Groundnuts,2026-04-07,29.6,25.0,12.26,LAB-A
S1332,Kisumu,Millet,2026-04-07,34.4,19.6,1.34,LAB-C
S1333,Nakuru,Millet,2026-04-08,30.7,24.5,4.63,LAB-C
S1334,Meru,Millet,2026-04-08,31.4,27.5,10.94,LAB-C
S1335,Meru,Maize,2026-04-08,19.0,27.3,11.59,LAB-B
S1336,Machakos,Sorghum,2026-04-09,22.9,28.6,1.26,LAB-C
S1337,Bungoma,Maize,2026-04-09,14.9,19.5,14.45,LAB-A
S1338,Nairobi,Sorghum,2026-04-09,13.3,28.4,9.65,LAB-B
S1339,Nairobi,Maize,2026-04-09,21.6,23.0,2.65,LAB-A
S1340,Machakos,Sorghum,2026-04-10,24.1,,4.62,LAB-C
S1341,Machakos,Maize,2026-04-10,17.2,31.7,5.87,LAB-B
S1342,Machakos,Millet,2026-04-10,23.4,18.1,12.8,LAB-A
S1343,Nakuru,Groundnuts,2026-04-11,32.0,27.4,13.01,LAB-C
S1344,Kisumu,Maize,2026-04-11,23.0,27.6,8.85,LAB-A
S1345,Nairobi,Sorghum,2026-04-11,27.5,24.3,6.39,LAB-A
S1346,Nakuru,Millet,2026-04-11,29.7,21.8,10.09,LAB-A
S1347,Machakos,Maize,2026-04-12,34.7,21.8,0.84,LAB-C
S1348,Nairobi,Maize,2026-04-12,24.3,32.1,19.5,LAB-C
S1349,Nakuru,Millet,2026-04-12,29.8,25.1,19.39,LAB-A
